,Fecha,Precio,combustible
0,2019-01-01,1.228664,Gasolina 95
1,2019-02-01,1.271043,Gasolina 95
2,2019-03-01,1.305643,Gasolina 95
3,2019-04-01,1.369528,Gasolina 95
4,2019-05-01,1.387684,Gasolina 95
5,2019-06-01,1.340391,Gasolina 95
6,2019-07-01,1.348643,Gasolina 95
7,2019-08-01,1.336114,Gasolina 95
8,2019-09-01,1.334711,Gasolina 95
9,2019-10-01,1.332736,Gasolina 95
10,2019-11-01,1.329162,Gasolina 95
11,2019-12-01,1.341772,Gasolina 95
12,2019-01-01,1.365593,Gasolina 98
13,2019-02-01,1.410579,Gasolina 98
14,2019-03-01,1.445482,Gasolina 98
15,2019-04-01,1.506498,Gasolina 98
16,2019-05-01,1.524203,Gasolina 98
17,2019-06-01,1.481358,Gasolina 98
18,2019-07-01,1.489219,Gasolina 98
19,2019-08-01,1.47586,Gasolina 98
20,2019-09-01,1.476846,Gasolina 98
21,2019-10-01,1.475447,Gasolina 98
22,2019-11-01,1.472357,Gasolina 98
23,2019-12-01,1.485097,Gasolina 98
24,2019-01-01,1.188435,Diésel
25,2019-02-01,1.239939,Diésel
26,2019-03-01,1.266578,Diésel
27,2019-04-01,1.283211,Diésel
28,2019-05-01,1.296485,Diésel
29,2019-06-01,1.24509,Diésel
30,2019-07-01,1.245999,Diésel
31,2019-08-01,1.231245,Diésel
32,2019-09-01,1.246124,Diésel
33,2019-10-01,1.246355,Diésel
34,2019-11-01,1.249737,Diésel
35,2019-12-01,1.265926,Diésel
36,2019-01-01,1.259785,Diésel Premium
37,2019-02-01,1.313618,Diésel Premium
38,2019-03-01,1.341384,Diésel Premium
39,2019-04-01,1.356713,Diésel Premium
40,2019-05-01,1.371323,Diésel Premium
41,2019-06-01,1.320323,Diésel Premium
42,2019-07-01,1.3208,Diésel Premium
43,2019-08-01,1.305021,Diésel Premium
44,2019-09-01,1.323726,Diésel Premium
45,2019-10-01,1.323839,Diésel Premium
46,2019-11-01,1.3277,Diésel Premium
47,2019-12-01,1.343926,Diésel Premium
48,2020-01-01,1.353995,Gasolina 95
49,2020-02-01,1.333209,Gasolina 95
50,2020-03-01,1.244821,Gasolina 95
51,2020-04-01,1.136134,Gasolina 95
52,2020-05-01,1.119766,Gasolina 95
53,2020-06-01,1.166519,Gasolina 95
54,2020-07-01,1.201404,Gasolina 95
55,2020-08-01,1.204331,Gasolina 95
56,2020-09-01,1.203226,Gasolina 95
57,2020-10-01,1.197043,Gasolina 95
58,2020-11-01,1.194192,Gasolina 95
59,2020-12-01,1.22371,Gasolina 95
60,2020-01-01,1.496671,Gasolina 98
61,2020-02-01,1.478587,Gasolina 98
62,2020-03-01,1.392623,Gasolina 98
63,2020-04-01,1.285532,Gasolina 98
64,2020-05-01,1.274593,Gasolina 98
65,2020-06-01,1.322487,Gasolina 98
66,2020-07-01,1.356241,Gasolina 98
67,2020-08-01,1.356622,Gasolina 98
68,2020-09-01,1.356027,Gasolina 98
69,2020-10-01,1.349658,Gasolina 98
70,2020-11-01,1.348467,Gasolina 98
71,2020-12-01,1.38071,Gasolina 98
72,2020-01-01,1.282829,Diésel
73,2020-02-01,1.243801,Diésel
74,2020-03-01,1.154507,Diésel
75,2020-04-01,1.058733,Diésel
76,2020-05-01,1.033324,Diésel
77,2020-06-01,1.069126,Diésel
78,2020-07-01,1.101826,Diésel
79,2020-08-01,1.102708,Diésel
80,2020-09-01,1.081279,Diésel
81,2020-10-01,1.069652,Diésel
82,2020-11-01,1.071672,Diésel
83,2020-12-01,1.109354,Diésel
84,2020-01-01,1.359538,Diésel Premium
85,2020-02-01,1.322284,Diésel Premium
86,2020-03-01,1.230824,Diésel Premium
87,2020-04-01,1.133666,Diésel Premium
88,2020-05-01,1.114717,Diésel Premium
89,2020-06-01,1.153461,Diésel Premium
90,2020-07-01,1.186276,Diésel Premium
91,2020-08-01,1.185418,Diésel Premium
92,2020-09-01,1.162845,Diésel Premium
93,2020-10-01,1.152395,Diésel Premium
94,2020-11-01,1.155774,Diésel Premium
95,2020-12-01,1.19445,Diésel Premium
96,2021-01-01,1.257955,Gasolina 95
97,2021-02-01,1.303584,Gasolina 95
98,2021-03-01,1.356433,Gasolina 95
99,2021-04-01,1.364857,Gasolina 95
100,2021-05-01,1.390647,Gasolina 95
101,2021-06-01,1.415869,Gasolina 95
102,2021-07-01,1.447043,Gasolina 95
103,2021-08-01,1.458561,Gasolina 95
104,2021-09-01,1.47437,Gasolina 95
105,2021-10-01,1.521385,Gasolina 95
106,2021-11-01,1.545334,Gasolina 95
107,2021-12-01,1.511798,Gasolina 95
108,2021-01-01,1.41534,Gasolina 98
109,2021-02-01,1.461686,Gasolina 98
110,2021-03-01,1.514466,Gasolina 98
111,2021-04-01,1.522062,Gasolina 98
112,2021-05-01,1.548937,Gasolina 98
113,2021-06-01,1.574003,Gasolina 98
114,2021-07-01,1.60472,Gasolina 98
115,2021-08-01,1.613537,Gasolina 98
116,2021-09-01,1.630904,Gasolina 98
117,2021-10-01,1.678351,Gasolina 98
118,2021-11-01,1.701301,Gasolina 98
119,2021-12-01,1.667701,Gasolina 98
120,2021-01-01,1.142884,Diésel
121,2021-02-01,1.188011,Diésel
122,2021-03-01,1.232597,Diésel
123,2021-04-01,1.228841,Diésel
124,2021-05-01,1.251197,Diésel
125,2021-06-01,1.28147,Diésel
126,2021-07-01,1.306815,Diésel
127,2021-08-01,1.308542,Diésel
128,2021-09-01,1.324535,Diésel
129,2021-10-01,1.396523,Diésel
130,2021-11-01,1.420908,Diésel
131,2021-12-01,1.383023,Diésel
132,2021-01-01,1.227722,Diésel Premium
133,2021-02-01,1.274471,Diésel Premium
134,2021-03-01,1.319244,Diésel Premium
135,2021-04-01,1.314009,Diésel Premium
136,2021-05-01,1.338842,Diésel Premium
137,2021-06-01,1.370137,Diésel Premium
138,2021-07-01,1.395493,Diésel Premium
139,2021-08-01,1.394391,Diésel Premium
140,2021-09-01,1.410935,Diésel Premium
141,2021-10-01,1.485296,Diésel Premium
142,2021-11-01,1.506942,Diésel Premium
143,2021-12-01,1.468153,Diésel Premium
144,2022-01-01,1.544705,Gasolina 95
145,2022-02-01,1.615539,Gasolina 95
146,2022-03-01,1.818035,Gasolina 95
147,2022-04-01,1.820964,Gasolina 95
148,2022-05-01,1.942393,Gasolina 95
149,2022-06-01,2.132588,Gasolina 95
150,2022-07-01,2.010101,Gasolina 95
151,2022-08-01,1.81297,Gasolina 95
152,2022-09-01,1.717778,Gasolina 95
153,2022-10-01,1.740664,Gasolina 95
154,2022-11-01,1.759888,Gasolina 95
155,2022-12-01,1.61136,Gasolina 95
156,2022-01-01,1.704352,Gasolina 98
157,2022-02-01,1.775861,Gasolina 98
158,2022-03-01,1.960326,Gasolina 98
159,2022-04-01,1.969729,Gasolina 98
160,2022-05-01,2.100366,Gasolina 98
161,2022-06-01,2.293224,Gasolina 98
162,2022-07-01,2.168071,Gasolina 98
163,2022-08-01,1.974392,Gasolina 98
164,2022-09-01,1.880813,Gasolina 98
165,2022-10-01,1.904627,Gasolina 98
166,2022-11-01,1.92669,Gasolina 98
167,2022-12-01,1.782166,Gasolina 98
168,2022-01-01,1.425071,Diésel
169,2022-02-01,1.504972,Diésel
170,2022-03-01,1.798919,Diésel
171,2022-04-01,1.855163,Diésel
172,2022-05-01,1.906347,Diésel
173,2022-06-01,2.063618,Diésel
174,2022-07-01,1.990361,Diésel
175,2022-08-01,1.867845,Diésel
176,2022-09-01,1.882806,Diésel
177,2022-10-01,1.943923,Diésel
178,2022-11-01,1.908723,Diésel
179,2022-12-01,1.70139,Diésel
180,2022-01-01,1.514332,Diésel Premium
181,2022-02-01,1.595402,Diésel Premium
182,2022-03-01,1.881596,Diésel Premium
183,2022-04-01,1.940594,Diésel Premium
184,2022-05-01,1.994633,Diésel Premium
185,2022-06-01,2.152454,Diésel Premium
186,2022-07-01,2.074619,Diésel Premium
187,2022-08-01,1.956973,Diésel Premium
188,2022-09-01,1.974506,Diésel Premium
189,2022-10-01,2.038503,Diésel Premium
190,2022-11-01,2.001456,Diésel Premium
191,2022-12-01,1.794648,Diésel Premium
